time,voltage,voltage,current,current
0.0,0.2,0.1999999,8e-06,4e-06
1e-06,0.1963819,0.1988384,7.9535e-06,3.9522e-06
2e-06,0.1928387,0.1976904,7.9076e-06,3.9053e-06
3e-06,0.1893217,0.1965473,7.8619e-06,3.8587e-06
4e-06,0.1858417,0.1954109,7.8164e-06,3.8125e-06
5e-06,0.1825894,0.1943162,7.7726e-06,3.7691e-06
6e-06,0.1793371,0.1932215,7.7289e-06,3.7256e-06
7e-06,0.1760848,0.1921267,7.6851e-06,3.6821e-06
8e-06,0.1728325,0.191032,7.6413e-06,3.6386e-06
9e-06,0.1695802,0.1899373,7.5975e-06,3.5952e-06
1e-05,0.166328,0.1888426,7.5537e-06,3.5517e-06
1.1e-05,0.1630757,0.1877478,7.5099e-06,3.5082e-06
1.2e-05,0.1598234,0.1866531,7.4661e-06,3.4648e-06
1.3e-05,0.1572549,0.1856859,7.4274e-06,3.4294e-06
1.4e-05,0.1547238,0.1847258,7.389e-06,3.3945e-06
1.5e-05,0.1521928,0.1837656,7.3506e-06,3.3596e-06
1.6e-05,0.1496618,0.1828054,7.3122e-06,3.3247e-06
1.7e-05,0.1471307,0.1818452,7.2738e-06,3.2898e-06
1.8e-05,0.1445997,0.180885,7.2354e-06,3.2548e-06
1.9e-05,0.1420686,0.1799248,7.197e-06,3.2199e-06
2e-05,0.1395376,0.1789647,7.1586e-06,3.185e-06
2.1e-05,0.1370066,0.1780045,7.1202e-06,3.1501e-06
2.2e-05,0.1344755,0.1770443,7.0818e-06,3.1152e-06
2.3e-05,0.1319445,0.1760841,7.0434e-06,3.0803e-06
2.4e-05,0.1294135,0.1751239,7.005e-06,3.0454e-06
2.5e-05,0.1268824,0.1741638,6.9666e-06,3.0105e-06
2.6e-05,0.1243514,0.1732036,6.9281e-06,2.9755e-06
2.7e-05,0.1218204,0.1722434,6.8897e-06,2.9406e-06
2.8e-05,0.1192893,0.1712832,6.8513e-06,2.9057e-06
2.9e-05,0.1167583,0.170323,6.8129e-06,2.8708e-06
3e-05,0.1142272,0.1693629,6.7745e-06,2.8359e-06
3.1e-05,0.1116962,0.1684027,6.7361e-06,2.801e-06
3.2e-05,0.1091652,0.1674425,6.6977e-06,2.7661e-06
3.3e-05,0.1066341,0.1664823,6.6593e-06,2.7312e-06
3.4e-05,0.1041031,0.1655221,6.6209e-06,2.6963e-06
3.5e-05,0.1015721,0.1645619,6.5825e-06,2.6613e-06
3.6e-05,0.099041,0.1636018,6.5441e-06,2.6264e-06
3.7e-05,0.09651,0.1626416,6.5057e-06,2.5915e-06
3.8e-05,0.093979,0.1616814,6.4673e-06,2.5566e-06
3.9e-05,0.0923396,0.1609001,6.436e-06,2.5324e-06
4e-05,0.0910241,0.1601838,6.4074e-06,2.5121e-06
4.1e-05,0.0897085,0.1594675,6.3787e-06,2.4918e-06
4.2e-05,0.088393,0.1587512,6.35e-06,2.4714e-06
4.3e-05,0.0870775,0.158035,6.3214e-06,2.4511e-06
4.4e-05,0.0857619,0.1573187,6.2927e-06,2.4308e-06
